...Mass Properties...
15 Num Comps
15 Total Num Meshes
35600 Total Num Tris

4.470566419281916e+02             Total Mass
1.868022255984330e+01 -6.362392677684093e-06 -1.320838099788682e-02       Center of Gravity
4.203385557795086e+03 3.564830681979574e+04 3.859012263687652e+04       Ixx, Iyy, Izz
-2.560215596683015e+00 1.316300404537315e+03 3.847398374494026e+00       Ixy, Ixz, Iyz
4.470566419281916e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
1.381177816313334e+01	1.415254417484580e+02	8.551357053769065e+00	-2.208614964588479e-05	-9.706513791657216e-02	3.612418481133634e+02	1.992781581830962e+03	2.064430539210392e+03	-1.009905853814839e+00	-1.764802866282792e+01	1.345585717622210e+00	1.415254417484580e+02
1.460102262959810e+01	1.561664295290292e+02	9.118528116329543e+00	-2.001551866539512e-05	-1.462357071329312e-01	4.905297163850347e+02	2.505129103743755e+03	2.656373721341561e+03	-1.064569167559098e+00	-5.975872179495956e+01	1.462546684045414e+00	1.561664295290292e+02
1.539026709606287e+01	1.709532944878337e+02	9.661011708868825e+00	-1.765989418007901e-05	-1.866078247728868e-01	6.138345698644273e+02	3.062099540853762e+03	3.289200912761734e+03	-1.122037093822327e+00	-9.931385374927655e+01	1.579323514467552e+00	1.709532944878337e+02
1.617951156252763e+01	1.866069550965397e+02	1.020782082610824e+01	-1.617848106902494e-05	-2.216424794258358e-01	7.350930145378678e+02	3.696080825045039e+03	3.999224244548334e+03	-1.184529547356394e+00	-1.383691692602402e+02	1.698165351581239e+00	1.866069550965397e+02
1.696875602899239e+01	2.008292358615249e+02	1.068661525201339e+01	-1.295386062064821e-05	-2.327619082767820e-01	8.029334830967927e+02	4.316745283383981e+03	4.658221605175017e+03	-1.242788320920109e+00	-1.524112670492902e+02	1.806811606151697e+00	2.008292358615249e+02
1.775800049545715e+01	2.157632840389094e+02	1.117606093493779e+01	-1.205725960965487e-05	-2.430426638186948e-01	8.891527921708800e+02	5.028273024626140e+03	5.426952883576587e+03	-1.306428585851480e+00	-1.670246101701617e+02	1.917153926519016e+00	2.157632840389094e+02
1.854724496192192e+01	2.317296377842699e+02	1.168394129423195e+01	-1.156152502873136e-05	-2.533319506848569e-01	1.027645157131735e+03	5.852634327502285e+03	6.360725131485683e+03	-1.377838900058891e+00	-1.834037257471138e+02	2.042085047266268e+00	2.317296377842699e+02
1.933648942838668e+01	2.482631191599964e+02	1.219357503476091e+01	-1.094756187314052e-05	-2.616501462365103e-01	1.239191117216737e+03	6.772782227418133e+03	7.463904025295862e+03	-1.456086373507039e+00	-1.981722118141124e+02	2.173279985799731e+00	2.482631191599964e+02
2.012573389485144e+01	2.646949103881584e+02	1.268598940792165e+01	-1.056125307034012e-05	-2.664417305137412e-01	1.537718604878254e+03	7.758382394852051e+03	8.720482446079845e+03	-1.522596631306719e+00	-2.076223596749861e+02	2.301522162277168e+00	2.646949103881584e+02
2.091497836131620e+01	2.801735438160988e+02	1.314061300213144e+01	-1.025487265220622e-05	-2.666622941055012e-01	1.921896415031551e+03	8.763859584314676e+03	1.008369676757878e+04	-1.594027945096678e+00	-2.081191026770990e+02	2.423121995480486e+00	2.801735438160988e+02
